invoice_id,customer_id,invoice_date,amount_usd,status
INV-001,CUST-001,2024-01-31,1200.00,paid
INV-002,CUST-002,2024-01-31,850.00,paid
INV-003,CUST-004,2024-01-31,3100.00,paid
INV-004,CUST-001,2024-02-29,1200.00,paid
INV-005,CUST-003,2024-02-29,450.00,overdue
INV-006,CUST-005,2024-02-29,1750.00,paid
INV-007,CUST-002,2024-03-31,900.00,paid
INV-008,CUST-004,2024-03-31,3100.00,pending
INV-009,CUST-001,2024-04-30,1200.00,pending
INV-010,CUST-003,2024-04-30,450.00,overdue
INV-011,CUST-005,2024-04-30,1750.00,paid
