order_id,customer_id,order_date,revenue_usd,status
ORD-001,CUST-001,2024-01-05,120.00,completed
ORD-002,CUST-002,2024-01-12,85.50,completed
ORD-003,CUST-001,2024-01-20,200.00,completed
ORD-004,CUST-003,2024-02-03,45.00,refunded
ORD-005,CUST-004,2024-02-14,310.75,completed
ORD-006,CUST-002,2024-02-22,60.00,pending
ORD-007,CUST-005,2024-03-01,175.00,completed
ORD-008,CUST-003,2024-03-10,90.25,completed
ORD-009,CUST-001,2024-03-18,55.00,cancelled
ORD-010,CUST-004,2024-03-25,420.00,completed
ORD-011,CUST-005,2024-04-02,130.00,completed
ORD-012,CUST-002,2024-04-15,75.50,pending
